ISO Week,src,src_humans
2013-11,1682,1682
2013-12,1973,1973
2013-13,1487,1487
2013-14,1312,1312
2013-15,1614,1614
2013-16,1478,1478
2013-17,1800,1800
2013-18,1461,1461
2013-19,1495,1495
2013-20,1502,1502
2013-21,1613,1613
2013-22,1411,1411
2013-23,1684,1684
2013-24,1670,1670
2013-25,1685,1685
2013-26,1365,1365
2013-27,1107,1107
2013-28,1566,1566
2013-29,1371,1371
2013-30,1473,1473
2013-31,1576,1576
2013-32,1565,1565
2013-33,1378,1378
2013-34,1398,1398
2013-35,1349,1349
2013-36,1294,1294
2013-37,1430,1430
2013-38,1340,1340
2013-39,1220,1220
2013-40,1498,1498
2013-41,1481,1481
2013-42,1472,1472
2013-43,1922,1922
2013-44,1728,1728
2013-45,1677,1677
2013-46,1407,1407
2013-47,1586,1586
2013-48,1165,1165
2013-49,1593,1593
2013-50,1588,1588
2013-51,1467,1467
2013-52,385,385
2014-01,387,387
2014-02,1482,1482
2014-03,1458,1458
2014-04,1389,1389
2014-05,1345,1345
2014-06,1706,1706
2014-07,1598,1598
2014-08,1313,1313
2014-09,1668,1668
2014-10,1578,1578
2014-11,1614,1614
2014-12,1593,1593
2014-13,1836,1836
2014-14,1661,1661
2014-15,1604,1604
2014-16,1490,1490
2014-17,1531,1531
2014-18,1894,1894
2014-19,1787,1787
2014-20,1488,1488
2014-21,1532,1532
2014-22,1458,1458
2014-23,1707,1707
2014-24,1516,1516
2014-25,1837,1837
2014-26,1628,1628
2014-27,1132,1132
2014-28,1563,1563
2014-29,1615,1615
2014-30,1550,1550
2014-31,1504,1504
2014-32,1501,1501
2014-33,1728,1728
2014-34,1502,1502
2014-35,1465,1465
2014-36,1202,1202
2014-37,1491,1491
2014-38,1442,1442
2014-39,1606,1606
2014-40,1456,1456
2014-41,1390,1390
2014-42,1307,1307
2014-43,1526,1526
2014-44,1441,1441
2014-45,1224,1224
2014-46,1339,1339
2014-47,1432,1432
2014-48,1086,1086
2014-49,1472,1472
2014-50,1540,1540
